link,title,location,comapany name,description 
/jobs/p/iyVI4QxEsPiG-Senior-Java-Developer-Cegedim-Cairo-Egypt?o=317&l=sp&t=sj&a=data science|search-v3|navbg,Senior Java Developer,"New Cairo, Cairo, Egypt",Cegedim -,Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Engineering · Software Engineering · Software Development · Java Development · Design · Java EE
/jobs/p/3Giy7EOE7OW5-IT-Help-Desk-Specialist-Value-Cairo-Egypt?o=318&l=sp&t=sj&a=data science|search-v3|navbg,IT Help Desk Specialist,"New Cairo, Cairo, Egypt",Value -,Full TimeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer · Computer Science · Help Desk · Installation · CCNA · SQL · MCSA
/jobs/p/iYqxXkiFejBm-Senior-Full-Stack-Instructor-PHP---Python-Cairo-Egypt?o=319&l=sp&t=sj&a=data science|search-v3|navbg,Senior Full Stack Instructor (PHP - Python),"Cairo, Egypt",Confidential -,Full TimeExperienced · 6 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · PHP · PHP Development · PHP Web Development · Python · python development · CSS3 · HTML5
/jobs/p/yL71OsYqneuI-Senior-iOS-Developer-Smartpan-Cairo-Egypt?o=320&l=sp&t=sj&a=data science|search-v3|navbg,Senior iOS Developer,"Nasr City, Cairo, Egypt",Smartpan -,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · iOS · Software Engineering · Computer Science · Engineering · APIs · Git · JSON
/jobs/p/2nBT01vMlNhz-SAP-PPQMPM-Consultant-BEAM-Consolidated-Cairo-Egypt?o=321&l=sp&t=sj&a=data science|search-v3|navbg,SAP PP/QM/PM Consultant,"Maadi, Cairo, Egypt",BEAM Consolidated -,Full TimeWork From HomeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · PP · QM · SAP PP · SAP · Engineering · SAP implemetations
/jobs/p/Uth7ke550Y0n-Business-Unit-Manager-Cairo-Egypt?o=322&l=sp&t=sj&a=data science|search-v3|navbg,Business Unit Manager,"Cairo, Egypt",Confidential -,Full TimeManager · 3 - 14 Yrs of Exp · Medical/Healthcare · Sales/Retail · Pharmaceutical · Pharmaceutical · Pharmacy · Science · Business Development · Sales · sales skills · Agile
/jobs/p/ojBuupoBhu2J-UIUX-Designer-On-Site-Giza-Egypt?o=323&l=sp&t=sj&a=data science|search-v3|navbg,UI/UX Designer (On-Site),"Dokki, Giza, Egypt",Confidential -,Full TimeExperienced · 3 - 5 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · UI · UX · Computer Science · Design · CSS · HTML5 · Bootstrap
/jobs/p/GTyQgs356K7n-Senior-Test-Automation-Engineer-Expleo-Cairo-Egypt?o=324&l=sp&t=sj&a=data science|search-v3|navbg,Senior Test Automation Engineer,"Maadi, Cairo, Egypt",Expleo -,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Automation · Testing · Computer Science · Information Technology (IT) · Automation Testing · Software Testing · Quality
/jobs/p/uQR2RBd7KM2C-Senior-Android-Developer-Procrew-Alexandria-Egypt?o=325&l=sp&t=sj&a=data science|search-v3|navbg,Senior Android Developer,"Alexandria, Egypt",Procrew -,Full TimeExperienced · 4+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Software Development · Information Technology (IT) · AWS · GIT · Computer Science · APIs · CI
/jobs/p/eQSc1OhtagwN-Senior-Full-Stack-Developer-NET-DEVOPSolution-Cairo-Egypt?o=326&l=sp&t=sj&a=data science|search-v3|navbg,Senior Full Stack Developer (.NET),"Nasr City, Cairo, Egypt",DEVOPSolution -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .NET Development · Computer Science · Computer Engineering · Information Technology (IT) · .NET · C# · MVC · ASP.NET
/jobs/p/Q489fQ7pnDZU-Junior-Autonomous-Engineer-Wakeb-Data-Giza-Egypt?o=327&l=sp&t=sj&a=data science|search-v3|navbg,Junior Autonomous Engineer,"Mohandessin, Giza, Egypt",Wakeb Data -,Full TimeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Mechanical/Electrical · Information Technology (IT) · Engineering · Software Development · Hardware Installation · Computer Science · Electrical Engineering · Electronics · Git
/jobs/p/rYlszC13HE6B-Oracle-NetSuite-Technical-Consultant-Advanced-Techniques-Solutions-for-Software-Company-Cairo-Egypt?o=328&l=sp&t=sj&a=data science|search-v3|navbg,Oracle NetSuite Technical Consultant,"Nasr City, Cairo, Egypt",Advanced Techniques Solutions for Software Company  -,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · JavaScript · NetSuite · Oracle · English · SQL · Software Development
/jobs/p/wZgedcQaPR5C-Solution-Architect-Excel-Systems-Giza-Egypt?o=329&l=sp&t=sj&a=data science|search-v3|navbg,Solution Architect,"Sheikh Zayed, Giza, Egypt",Excel Systems   -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud · Computer Engineering · Computer Science · Docker · Design · Engineering · Information Technology (IT) · Sharepoint
/jobs/p/aEYvL72bPF29-Application-Support-Section-Head-Kanawat-Cairo-Egypt?o=330&l=sp&t=sj&a=data science|search-v3|navbg,Application Support Section Head,"Nasr City, Cairo, Egypt",Kanawat -,Full TimeManager · 5+ Yrs of Exp · IT/Software Development · IT · Customer Service · Communication · Communication skills · Computer Engineering · Computer Science · Engineering · ERP
/jobs/p/OGbcaevuFODl-Web-Developer-Akhnaton-for-Trading-Distributing-Cairo-Egypt?o=331&l=sp&t=sj&a=data science|search-v3|navbg,Web Developer,"Downtown, Cairo, Egypt",Akhnaton for Trading & Distributing  -,Full TimeExperienced · 3+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · PHP · Software Development · Web · Information Technology (IT) · Web Development · Computer Engineering · Computer Science
/jobs/p/02V0g0j9xJO3-Senior-Java-Developer-Cairo-Egypt?o=332&l=sp&t=sj&a=data science|search-v3|navbg,Senior Java Developer,"Maadi, Cairo, Egypt",Confidential -,Full TimeExperienced · 4 - 6 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · backend · API · Computer Science · Information Technology (IT) · RESTful · Java · Software Development
/jobs/p/A7towgX7Mvi7-IBM-BPM-Developer-Cairo-Egypt?o=333&l=sp&t=sj&a=data science|search-v3|navbg,IBM BPM Developer,"Cairo, Egypt",Confidential -,Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · BPM · Computer Science · Information Technology (IT) · Implementation · JavaScript · Software Development · XML · Software Engineering
/jobs/p/ZV3PXXO9ZB6V-Dynamics-AX365-Functional-Consultant-Sky-Holding-Cairo-Egypt?o=334&l=sp&t=sj&a=data science|search-v3|navbg,Dynamics AX365 Functional Consultant,"Katameya, Cairo, Egypt",Sky Holding -,Full TimeExperienced · 4 - 5 Yrs of Exp · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · Ax · Accounting · Commerce · ERP · Finance · Functional · Information Technology (IT)
/jobs/p/1MrW2lQhaijA-Senior-React-Native-Developer-Cairo-Egypt?o=335&l=sp&t=sj&a=data science|search-v3|navbg,Senior React Native Developer,"Maadi, Cairo, Egypt",Confidential -,Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · CSS · front-end · HTML · Computer Science · Information Technology (IT) · Redux · React
/jobs/p/opdgDQZGIEAW-Product-Owner---Cairo-Cegedim-Cairo-Egypt?o=336&l=sp&t=sj&a=data science|search-v3|navbg,Product Owner - Cairo,"New Cairo, Cairo, Egypt",Cegedim -,Full TimeExperienced · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Healthcare Market · Project Management · Scrum · BDD · Engineering · Agile · Computer Science
/jobs/p/287735--CGEG012--Product-Owner-Cegedim-Cairo-Egypt?o=337&l=sp&t=sj&a=data science|search-v3|navbg,[CGEG012] Product Owner,"New Cairo, Cairo, Egypt",Cegedim -,Full TimeExperienced · 6+ Yrs of Exp · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Software Development · Healthcare Market · Project Management · Scrum · BDD · Engineering · Agile
/jobs/p/J5SpbuW69dm6-Senior-Android-Developer-Fawry-Banking-Payment-Technology-Services-Giza-Egypt?o=338&l=sp&t=sj&a=data science|search-v3|navbg,Senior Android Developer,"6th of October, Giza, Egypt",Fawry Banking & Payment Technology Services -,Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Computer Science · Android · ITI · RESTful · MVC · Git
/jobs/p/xSETw4wCoGpT-District-Manager-Sohag-Egypt?o=339&l=sp&t=sj&a=data science|search-v3|navbg,District Manager,"Sohag, Egypt",Confidential -,Full TimeManager · 3 - 5 Yrs of Exp · Medical/Healthcare · Sales/Retail · Pharmaceutical · Communication · Medical representative · Medical · Pharmacy · Sales · Sales Target · MEDICINE
/jobs/p/X8vUBgHjP8f1-Application-Support-Engineer-Cairo-Egypt?o=340&l=sp&t=sj&a=data science|search-v3|navbg,Application Support Engineer,"Maadi, Cairo, Egypt",Confidential -,Full TimeWork From HomeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Database · Engineering · Information Technology (IT) · Network · Oracle · Security · Windows
/jobs/p/3V8k7hEUQwHI-Software-Tester-Manual-Testing-Atomica-Cairo-Egypt?o=341&l=sp&t=sj&a=data science|search-v3|navbg,Software Tester (Manual Testing),"Cairo, Egypt",Atomica -,Full TimeWork From HomeEntry Level · 1 - 7 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Communication skills · Information Technology (IT) · Performance · Project Management · Quality Control · QA · Software Testing
/jobs/p/4FTH0BY8lz0x-Senior-Test-Automation-Engineer-SeleniumC-Expleo-Cairo-Egypt?o=342&l=sp&t=sj&a=data science|search-v3|navbg,Senior Test Automation Engineer (Selenium/C#),"Maadi, Cairo, Egypt",Expleo -,Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Automation · Testing · Computer Science · Information Technology (IT) · Automation Testing · Software Testing · Quality
/jobs/p/qj8u73JHg2BV-Sr-Odoo-Developer-Al-Rabat-Cairo-Egypt?o=343&l=sp&t=sj&a=data science|search-v3|navbg,Sr. Odoo Developer,"Nasr City, Cairo, Egypt",Al Rabat -,Full TimeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · HTML · CSS · Java · Odoo · Python · JavaScript · Information Technology (IT) · Computer Science
/jobs/p/Tx1iTlfBCVyk-UI-UX-Product-Designing-Manager-Atomica-Cairo-Egypt?o=344&l=sp&t=sj&a=data science|search-v3|navbg,UI /UX Product Designing Manager,"Cairo, Egypt",Atomica -,Full TimeWork From HomeManager · 4+ Yrs of Exp · Creative/Design/Art · IT/Software Development · UX Design · UI/UX · UI Design · Visual Design · Adobe XD · Design · Computer Science · photoshop
/jobs/p/nQVwSk41R6Kp-iOS-Developer---Cairo-Restart-Technology-Cairo-Egypt?o=345&l=sp&t=sj&a=data science|search-v3|navbg,iOS Developer - Cairo,"Heliopolis, Cairo, Egypt",Restart Technology -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Swift · Computer Science · Information Technology (IT) · Software Engineering · APIs · JSON · REST
/jobs/p/6xbEBAMGHPUE-Full-Stack-Developer-empoweromics-Cairo-Egypt?o=346&l=sp&t=sj&a=data science|search-v3|navbg,Full Stack Developer,"Downtown, Cairo, Egypt",empoweromics -,Full TimeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · HTML · Information Technology (IT) · Java · JavaScript · jQuery · MySQL · React
/jobs/p/IJzvWoKiTYmy-System-DB-AdministratorDeveloper-Global-Academic-Foundation-Hosting-University-of-Hertfordshire-UH-Cairo-Egypt?o=347&l=sp&t=sj&a=data science|search-v3|navbg,System & DB Administrator/Developer,"New Capital, Cairo, Egypt",Global Academic Foundation Hosting University of Hertfordshire UH -,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Development · Information Technology (IT) · Database · SQL · Telecom Engineering
/jobs/p/fzwA6bfkOJMN-Senior-MS-Dynamics-365-FO-Developer-Jeddah-Saudi-Arabia?o=348&l=sp&t=sj&a=data science|search-v3|navbg,Senior MS Dynamics 365 FO Developer,"Jeddah, Saudi Arabia",Confidential -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Microsoft Dynamics · AX · Computer Science · Information Technology (IT) · ERP · MS SQL · SQL · Computer Engineering
/jobs/p/xMB0F2KBu3D2-React-JS-Developer-Rowaad-Cairo-Egypt?o=349&l=sp&t=sj&a=data science|search-v3|navbg,React JS Developer,"Nasr City, Cairo, Egypt",Rowaad -,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · React.js · Front-End · JS · RESTful · Computer Science · Software Development · React
/jobs/p/gn27rusTnFDA-Senior-Devops-Engineer-FlairsTech-Cairo-Egypt?o=350&l=sp&t=sj&a=data science|search-v3|navbg,Senior Devops Engineer,"Maadi, Cairo, Egypt",FlairsTech -,Full TimeExperienced · 4 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Devops Engineer · DevOps · AWS · Docker · Engineering · Information Technology (IT) · JSON
/jobs/p/4CDCKYnVUNHt-Web-Development-Team-Leader-Cairo-Egypt?o=351&l=sp&t=sj&a=data science|search-v3|navbg,Web Development Team Leader,"Cairo, Egypt",Confidential -,Full TimeWork From HomeExperienced · 7+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Development · Web Development · Software Engineering · team leader · Software Development · Information Technology (IT) · IT
/jobs/p/jJ5sRyfyPmyI-Android-Developer-On-Site-Union-Coop-Giza-Egypt?o=352&l=sp&t=sj&a=data science|search-v3|navbg,Android Developer (On-Site),"Dokki, Giza, Egypt",Union Coop -,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · Information Technology (IT) · Computer Science · Software Development · Java · JSON · Android SDK · REST
/jobs/p/8nFj6BJ30KbO-Backend-Developer-Caelum-Egypt-Giza-Egypt?o=353&l=sp&t=sj&a=data science|search-v3|navbg,Backend Developer,"Dokki, Giza, Egypt",Caelum Egypt -,Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Information Technology (IT) · Computer Science · Development · Engineering · Full Stack · Back-End Development · Software Engineering
/jobs/p/ywORY7xLOnt6-Senior-SAP-Analytics-Cloud-Consultant---SAC-Geidea-Cairo-Egypt?o=354&l=sp&t=sj&a=data science|search-v3|navbg,Senior SAP Analytics Cloud Consultant - (SAC),"New Cairo, Cairo, Egypt",Geidea -,Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Cloud · SAP HANA · SAP BW · SAP · OData Services · SQL · SAP BO Universe
/jobs/p/a15GFKwirzjD-Senior-PHP-Laravel-Developer-Tanta-apps-square-Gharbia-Egypt?o=355&l=sp&t=sj&a=data science|search-v3|navbg,Senior PHP (Laravel) Developer (Tanta),"Tanta, Gharbia, Egypt",apps square -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Software Development · Software Engineering · SQL · Computer Science · Information Technology (IT) · MySQL · CSS3
/jobs/p/GHkOZ0D34qPB-Software-Tester-Quality-Control-Engineer-Mansoura-qTech-AlQemam-Dakahlia-Egypt?o=356&l=sp&t=sj&a=data science|search-v3|navbg,Software Tester / Quality Control Engineer (Mansoura),"Mansoura, Dakahlia, Egypt","qTech. ""AlQemam"" -",Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Quality Assurance · Quality Control · Engineering · Quality · SQL · Zephyr · Testing
/jobs/p/pJUGbMKJ6mv9-Senior-Pre-Sales-Officer-Integrated-Technology-Group-Cairo-Egypt?o=357&l=sp&t=sj&a=data science|search-v3|navbg,Senior Pre-Sales Officer,"Cairo, Egypt",Integrated Technology Group -,Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Presales · Sales · sales skills · Communication skills · English
/internship/48e8tIzWG38Q-Product-Analyst---Intern-Wego-Cairo-Egypt?o=358&l=sp&t=sj&a=data science|search-v3|navbg,Product Analyst - Intern,"Maadi, Cairo, Egypt",Wego -,InternshipEntry Level · Analyst/Research · business · Business Analysis · Communication skills · Computer Science · E-Commerce · Engineering · Information Technology (IT) · Product · SQL
/jobs/p/qjHpZp7CztfU-Devops-Engineer-Reach-Cairo-Egypt?o=359&l=sp&t=sj&a=data science|search-v3|navbg,Devops Engineer,"New Cairo, Cairo, Egypt",Reach -,Part TimeWork From HomeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Startup · Information Technology (IT) · Engineering · Computer Science · AWS · DevOps · Docker · RDS
/jobs/p/RlUvHKpja6Bw-Software-Test-Engineer-API-Testing-Expleo-Cairo-Egypt?o=360&l=sp&t=sj&a=data science|search-v3|navbg,Software Test Engineer | API Testing,"Maadi, Cairo, Egypt",Expleo -,Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · API · API Testing · Computer Science · Information Technology (IT) · Software · Software Development · Test
/jobs/p/X0CAtdYhLGXK-Backend-Development-Lead-Nugttah-Cairo-Egypt?o=361&l=sp&t=sj&a=data science|search-v3|navbg,Backend Development Lead,"Cairo, Egypt",Nugttah -,Full TimeWork From HomeExperienced · 2 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Node.js · MongoDB · JavaScript · MEAN Stack · Computer Science · Development · Debugging · Information Technology (IT)
/jobs/p/1mSx0UUL3W3i-Digital-Marketing-Manager-Bluebell-Pharmaceuticals-Cairo-Egypt?o=362&l=sp&t=sj&a=data science|search-v3|navbg,Digital Marketing Manager,"Maadi, Cairo, Egypt",Bluebell Pharmaceuticals  -,Full TimeManager · 7+ Yrs of Exp · Marketing/PR/Advertising · Medical/Healthcare · Pharmaceutical · Digital Marketing · E-Marketing · Marketing · Project Management · Social Media · Writing · Pharmacy
/jobs/p/2zNvhKyccWGP-Product-Manager-Derma-prima-pharm-Cairo-Egypt?o=363&l=sp&t=sj&a=data science|search-v3|navbg,Product Manager (Derma),"Nasr City, Cairo, Egypt",prima pharm -,Full TimeExperienced · 3 - 6 Yrs of Exp · Marketing/PR/Advertising · Medical/Healthcare · Pharmaceutical · Product Management · Management · Marketing · Product · Science · Planning · English
/jobs/p/23xhh7F3R0Kq-Senior-MS-Dynamics-CRM-Developer-egabi-solutions-Cairo-Egypt?o=364&l=sp&t=sj&a=data science|search-v3|navbg,Senior MS Dynamics CRM Developer,"Cairo, Egypt",egabi solutions -,Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Power Automate · Power BI · Power Apps · Microsoft Dynamics 365 · CRM SDK · plugin · Microsoft SQL Server · Sharepoint
/jobs/p/7SV0xsRakGzy-Senior-IT-Engineer-Advansys-for-Trading-Contracting-Cairo-Egypt?o=365&l=sp&t=sj&a=data science|search-v3|navbg,Senior IT Engineer,"Maadi, Cairo, Egypt",Advansys for Trading & Contracting -,Full TimeExperienced · 3+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Engineering · Computer Science · Routers · Security · Networking · Firewall
/jobs/p/naxAO9EULJ3r-Virtualization-Specialist-Engineer-Perfect-Presentation-Giza-Egypt?o=366&l=sp&t=sj&a=data science|search-v3|navbg,Virtualization Specialist Engineer,"6th of October, Giza, Egypt",Perfect Presentation -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Virtualization · Computer Engineering · Engineering · Information technology · Information Technology (IT) · Networking · Troubleshooting · Vmware
/jobs/p/NZm54Hu95wpG-Software-Quality-Assurance-Specialist-Wakeb-Data-Giza-Egypt?o=367&l=sp&t=sj&a=data science|search-v3|navbg,Software Quality Assurance Specialist,"Mohandessin, Giza, Egypt",Wakeb Data -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Quality Control · Quality Assurance · Computer Science · quality · Testing · Design · Software
/jobs/p/wBKcbupczVA0-Senior-Frontend-Developer-----Angular2-Obeikan-Digital-Solutions-Cairo-Egypt?o=368&l=sp&t=sj&a=data science|search-v3|navbg,Senior Frontend Developer --- Angular+2,"Cairo, Egypt",Obeikan Digital Solutions -,Full TimeExperienced · 5 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · AJAX · Angular · Computer Science · CSS · Engineering · HTML · Information Technology (IT)
/jobs/p/jjmDKVMe2F9K-Production-Chemist-Lacquer-Intrade-Cairo-Egypt?o=369&l=sp&t=sj&a=data science|search-v3|navbg,Production Chemist (Lacquer),"Obour City, Cairo, Egypt",Intrade -,Full TimeExperienced · 5 - 10 Yrs of Exp · R&D/Science · Manufacturing/Production · Engineering - Other · Chemistry · Chemist · Chemical Engineering · Science · Production · Alkyd
/jobs/p/pwS6z1wfqRxA-Full-Stack-Developer-NET-core-Angular-Smart-IT-Cairo-Egypt?o=370&l=sp&t=sj&a=data science|search-v3|navbg,"Full Stack Developer (.NET core , Angular)","Nasr City, Cairo, Egypt",Smart IT -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Software Engineering · OOP · ASP.NET · C#.Net · ADO.NET · SQL
/jobs/p/KwZF8HtlVdnI-Solution-Architect-Cegedim-Cairo-Egypt?o=371&l=sp&t=sj&a=data science|search-v3|navbg,Solution Architect,"New Cairo, Cairo, Egypt",Cegedim -,Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Architecture · Agile · AWS · Azure · Computer Science · Engineering · Scrum · Software Development
/jobs/p/286604--CGEG006--DevOps-Engineer-Cegedim-Cairo-Egypt?o=372&l=sp&t=sj&a=data science|search-v3|navbg,[CGEG006] DevOps Engineer,"New Cairo, Cairo, Egypt",Cegedim -,Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · System Administration · Linux · Network Adminstartion · Engineering · Windows Systems · MongoDB · Oracle · PostgreSQL
/jobs/p/8FrNbPsn6EQn-Senior-QA-Lot-Release-Specialist-Rameda-Giza-Egypt?o=373&l=sp&t=sj&a=data science|search-v3|navbg,Senior QA Lot Release Specialist,"6th of October, Giza, Egypt",Rameda -,Full TimeEntry Level · 1 - 4 Yrs of Exp · R&D/Science · Quality · Pharmaceutical · Quality · Quality Assurance · Quality Control · Medical · Healthcare · Pharmaceutical · Sterile Area
/jobs/p/w4H70VjVJP1O-Sales-Executive-Misr-International-Systems-Giza-Egypt?o=374&l=sp&t=sj&a=data science|search-v3|navbg,Sales Executive,"Giza, Egypt",Misr International Systems -,Full TimeEntry Level · 0 - 2 Yrs of Exp · males_preferred · Customer Service/Support · IT/Software Development · Sales/Retail · Commerce · Customer Service · IT · Retail · Sales · sales skills · Sales Target
/jobs/p/b58hzgTNqnET-Database-Administrator-Othaim-Cairo-Egypt?o=375&l=sp&t=sj&a=data science|search-v3|navbg,Database Administrator,"Maadi, Cairo, Egypt",Othaim -,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Microsoft SQL Server · SQL · SQL Server · Database · SSRS · Oracle
/jobs/p/yqp2Mq5ccBiU-Senior-PHP-Developer-Daeem-Delivery-Giza-Egypt?o=376&l=sp&t=sj&a=data science|search-v3|navbg,Senior PHP Developer,"Giza, Egypt",Daeem Delivery -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Web Development · Web Design · CS · HTTP · HTML · CSS · Information Technology (IT)
/jobs/p/dPxlxt451QLx-BMC-Remedy-ITSM-Consultant-ITS-Cairo-Egypt?o=377&l=sp&t=sj&a=data science|search-v3|navbg,BMC Remedy ITSM Consultant,"Cairo, Egypt",ITS  -,Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · BMC · BMC Remedy · Computer Science · Information Technology (IT) · Computer Engineering
/jobs/p/goUTJvmOHdmm-Telecommunications-Engineer-Xceed-Cairo-Egypt?o=378&l=sp&t=sj&a=data science|search-v3|navbg,Telecommunications Engineer,"Maadi, Cairo, Egypt",Xceed -,Full TimeEntry Level · 0 - 2 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · CCNA · Engineering · Information Technology (IT) · Computer Science · Telecommunication · Computer Skills · PRIS
/jobs/p/Fq6b0yWhOatj-Software-Technical-Lead-Reach-Cairo-Egypt?o=379&l=sp&t=sj&a=data science|search-v3|navbg,Software Technical Lead,"New Cairo, Cairo, Egypt",Reach -,Full TimeWork From HomeManager · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Computer Science · Engineering · Information Technology (IT) · Laravel · Node Js · Node.js · React
/jobs/p/2m52vNnJbPIL-Front-End-Developer-Angular-Cegedim-Cairo-Egypt?o=380&l=sp&t=sj&a=data science|search-v3|navbg,Front-End Developer ( Angular ),"New Cairo, Cairo, Egypt",Cegedim -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · CSS · Angular · Software Engineering · Software · AngularJS · Engineering
/jobs/p/nAZd3tMOoGwS-Senior-Facility-Administrator---Hurghada-Caduceus-Lane-Red-Sea-Egypt?o=381&l=sp&t=sj&a=data science|search-v3|navbg,Senior Facility Administrator - Hurghada,"Hurghada, Red Sea, Egypt",Caduceus Lane -,Full TimeExperienced · 3 - 7 Yrs of Exp · Administration · Administration · Business Administration · Communication · Computer Science · Operations · Management · Microsoft · office
/jobs/p/y4NHOLpmA6fV-Java-Developer-Giza-Egypt?o=382&l=sp&t=sj&a=data science|search-v3|navbg,Java Developer,"Smart Village, Giza, Egypt",Confidential -,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Java · Software Development · SQL · JavaScript · Computer Engineering · J2ee
/jobs/p/yMPsJYHupFG1-Technical-Team-Lead-Net-BI-Technologies-Cairo-Egypt?o=383&l=sp&t=sj&a=data science|search-v3|navbg,Technical Team Lead (.Net),"New Cairo, Cairo, Egypt",BI-Technologies -,Full TimeManager · 5 - 12 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · ASP.Net · .Net · Computer Science · Design · Engineering · HTML5 · Information Technology (IT)
/jobs/p/MhD6IuFoWYXI-Software-Architect-ARROW-Electronics-Cairo-Egypt?o=384&l=sp&t=sj&a=data science|search-v3|navbg,Software Architect,"Nasr City, Cairo, Egypt",ARROW Electronics  -,Full TimeExperienced · 8 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Java · Software Development · Software · Python · Information Technology (IT) · Angular · Design
